source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
198, 187, 241, 198, 10300200, 5, 1, 159, 344, 171, 798, 759, 13, 23, 27, 132, 159
198, 187, 201, 244, 10300200, 4, 1, 132, 344, 171, 798, 759, 13, 23, 27, 132, 159
198, 187, 278, 198, 10300200, 3, 1, 27, 344, 171, 798, 759, 13, 23, 27, 132, 159
198, 187, 201, 284, 10300200, 2, 1, 23, 344, 171, 798, 759, 13, 23, 27, 132, 159
198, 187, 198, 315, 10300200, 1, 1, 13, 344, 171, 798, 759, 13, 23, 27, 132, 159
198, 315, 201, 412, 10300851, 4, 2, 311, 13, 171, 798, 759, 205, 299, 363, 311, 65
198, 315, 201, 412, 10300851, 3, 2, 363, 13, 171, 798, 759, 205, 299, 363, 311, 65
198, 315, 201, 418, 10300851, 2, 2, 299, 13, 171, 798, 759, 205, 299, 363, 311, 65
198, 315, 201, 446, 10300851, 1, 2, 205, 13, 171, 798, 759, 205, 299, 363, 311, 65
201, 446, 201, 485, 10301502, 1, 3, 65, 205, 171, 798, 759, 65, 222, 113, 210, 276
201, 446, 198, 532, 10301503, 3, 3, 113, 205, 171, 798, 759, 65, 222, 113, 210, 276
201, 446, 198, 564, 10301503, 2, 3, 222, 205, 171, 798, 759, 65, 222, 113, 210, 276
201, 446, 201, 618, 10301503, 5, 3, 276, 205, 171, 798, 759, 65, 222, 113, 210, 276
201, 485, 198, 532, 10302154, 2, 4, 113, 65, 171, 798, 759, 222, 113, 210, 67, 276
201, 485, 198, 564, 10302154, 1, 4, 222, 65, 171, 798, 759, 222, 113, 210, 67, 276
201, 485, 201, 618, 10302154, 5, 4, 276, 65, 171, 798, 759, 222, 113, 210, 67, 276
198, 564, 201, 618, 10302805, 3, 5, 276, 222, 171, 798, 759, 67, 210, 276, 107, 10
198, 564, 201, 645, 10302805, 2, 5, 210, 222, 171, 798, 759, 67, 210, 276, 107, 10
198, 564, 201, 691, 10302805, 1, 5, 67, 222, 171, 798, 759, 67, 210, 276, 107, 10
198, 564, 198, 712, 10302805, 5, 5, 10, 222, 171, 798, 759, 67, 210, 276, 107, 10
201, 691, 198, 757, 10303456, 4, 6, 178, 67, 171, 798, 759, 324, 246, 295, 178, 10000000
201, 691, 198, 780, 10303456, 3, 6, 295, 67, 171, 798, 759, 324, 246, 295, 178, 10000000
201, 691, 201, 812, 10303457, 1, 6, 324, 67, 171, 798, 759, 324, 246, 295, 178, 10000000
201, 812, 220, 798, 10304108, 3, 7, 271, 324, 171, 798, 759, 3, 136, 271, 10000000, 10000000
201, 812, 247, 798, 10304108, 2, 7, 136, 324, 171, 798, 759, 3, 136, 271, 10000000, 10000000
201, 812, 275, 798, 10304108, 1, 7, 3, 324, 171, 798, 759, 3, 136, 271, 10000000, 10000000
275, 798, 318, 801, 10304759, 5, 8, 95, 3, 171, 798, 759, 352, 304, 227, 215, 95
275, 798, 354, 801, 10304759, 4, 8, 215, 3, 171, 798, 759, 352, 304, 227, 215, 95
275, 798, 381, 801, 10304759, 3, 8, 227, 3, 171, 798, 759, 352, 304, 227, 215, 95
275, 798, 387, 801, 10304759, 1, 8, 352, 3, 171, 798, 759, 352, 304, 227, 215, 95
387, 801, 444, 798, 10305410, 5, 9, 181, 352, 171, 798, 759, 33, 360, 141, 82, 181
387, 801, 484, 798, 10305411, 4, 9, 82, 352, 171, 798, 759, 33, 360, 141, 82, 181
387, 801, 520, 801, 10305411, 1, 9, 33, 352, 171, 798, 759, 33, 360, 141, 82, 181
520, 801, 612, 798, 10306062, 4, 10, 337, 33, 171, 798, 759, 6, 194, 240, 337, 309
520, 801, 618, 798, 10306062, 3, 10, 240, 33, 171, 798, 759, 6, 194, 240, 337, 309
520, 801, 646, 798, 10306062, 2, 10, 194, 33, 171, 798, 759, 6, 194, 240, 337, 309
278, 198, 356, 201, 10308851, 3, 2, 197, 27, 171, 798, 759, 310, 314, 197, 241, 117
278, 198, 379, 201, 10308851, 4, 2, 241, 27, 171, 798, 759, 310, 314, 197, 241, 117
278, 198, 387, 201, 10308851, 1, 2, 310, 27, 171, 798, 759, 310, 314, 197, 241, 117
387, 201, 401, 245, 10309502, 4, 3, 118, 310, 171, 798, 759, 41, 88, 49, 118, 117
387, 201, 448, 198, 10309502, 5, 3, 117, 310, 171, 798, 759, 41, 88, 49, 118, 117
387, 201, 401, 288, 10309502, 1, 3, 41, 310, 171, 798, 759, 41, 88, 49, 118, 117
387, 201, 495, 198, 10309502, 2, 3, 88, 310, 171, 798, 759, 41, 88, 49, 118, 117
387, 201, 513, 201, 10309503, 3, 3, 49, 310, 171, 798, 759, 41, 88, 49, 118, 117
401, 288, 398, 347, 10310154, 1, 4, 116, 41, 171, 798, 759, 116, 104, 388, 224, 381
401, 288, 398, 375, 10310154, 4, 4, 224, 41, 171, 798, 759, 116, 104, 388, 224, 381
401, 288, 401, 412, 10310154, 3, 4, 388, 41, 171, 798, 759, 116, 104, 388, 224, 381
646, 798, 685, 798, 10310713, 1, 11, 6, 194, 171, 798, 759, 6, 301, 223, 133, 211
398, 347, 401, 412, 10310805, 5, 5, 395, 116, 171, 798, 759, 115, 104, 217, 300, 395
398, 347, 401, 415, 10310805, 4, 5, 300, 116, 171, 798, 759, 115, 104, 217, 300, 395
398, 347, 401, 431, 10310805, 3, 5, 217, 116, 171, 798, 759, 115, 104, 217, 300, 395
398, 347, 401, 467, 10310805, 2, 5, 104, 116, 171, 798, 759, 115, 104, 217, 300, 395
398, 347, 398, 533, 10310805, 1, 5, 115, 116, 171, 798, 759, 115, 104, 217, 300, 395
685, 798, 812, 798, 10311365, 1, 12, 301, 6, 171, 798, 759, 301, 211, 223, 248, 133
685, 798, 822, 798, 10311365, 3, 12, 223, 6, 171, 798, 759, 301, 211, 223, 248, 133
398, 533, 401, 637, 10311457, 2, 6, 154, 115, 171, 798, 759, 79, 154, 227, 108, 162
812, 798, 798, 778, 10312016, 2, 13, 297, 301, 171, 798, 759, 171, 297, 37, 10000000, 10000000
812, 798, 798, 755, 10312016, 171, 13, 171, 301, 171, 798, 759, 171, 297, 37, 10000000, 10000000
798, 778, 798, 755, 10316667, 171, 14, 171, 297, 171, 798, 759, 171, 10000000, 10000000, 10000000, 10000000
801, 621, 798, 755, 10322062, 171, 10, 171, 261, 171, 798, 759, 37, 171, 94, 131, 297
798, 719, 798, 755, 10322713, 171, 11, 171, 37, 171, 798, 759, 171, 297, 10000000, 10000000, 10000000
798, 778, 798, 755, 10327364, 171, 12, 171, 297, 171, 798, 759, 171, 10000000, 10000000, 10000000, 10000000
91, -1, 177, 1, 11300200, 4, 1, 270, 8, 130, 598, 556, 323, 365, 343, 270, 330
91, -1, 187, 1, 11300200, 3, 1, 343, 8, 130, 598, 556, 323, 365, 343, 270, 330
91, -1, 201, 12, 11300200, 1, 1, 323, 8, 130, 598, 556, 323, 365, 343, 270, 330
91, -1, 212, -1, 11300200, 2, 1, 365, 8, 130, 598, 556, 323, 365, 343, 270, 330
91, -1, 212, -1, 11300200, 5, 1, 330, 8, 130, 598, 556, 323, 365, 343, 270, 330
201, 12, 201, 62, 11300851, 3, 2, 123, 323, 130, 598, 556, 199, 98, 123, 60, 7
201, 12, 201, 87, 11300851, 2, 2, 98, 323, 130, 598, 556, 199, 98, 123, 60, 7
201, 12, 198, 89, 11300851, 4, 2, 60, 323, 130, 598, 556, 199, 98, 123, 60, 7
201, 12, 198, 140, 11300851, 1, 2, 199, 323, 130, 598, 556, 199, 98, 123, 60, 7
198, 140, 201, 212, 11301503, 4, 3, 368, 199, 130, 598, 556, 23, 132, 249, 368, 313
198, 140, 201, 212, 11301503, 5, 3, 313, 199, 130, 598, 556, 23, 132, 249, 368, 313
198, 140, 201, 224, 11301503, 3, 3, 249, 199, 130, 598, 556, 23, 132, 249, 368, 313
198, 140, 201, 257, 11301503, 2, 3, 132, 199, 130, 598, 556, 23, 132, 249, 368, 313
198, 140, 201, 298, 11301503, 1, 3, 23, 199, 130, 598, 556, 23, 132, 249, 368, 313
201, 298, 198, 371, 11302154, 4, 4, 229, 23, 130, 598, 556, 363, 305, 366, 229, 311
201, 298, 198, 387, 11302154, 2, 4, 305, 23, 130, 598, 556, 363, 305, 366, 229, 311
201, 298, 198, 387, 11302154, 3, 4, 366, 23, 130, 598, 556, 363, 305, 366, 229, 311
201, 298, 201, 412, 11302154, 1, 4, 363, 23, 130, 598, 556, 363, 305, 366, 229, 311
201, 298, 201, 412, 11302154, 5, 4, 311, 23, 130, 598, 556, 363, 305, 366, 229, 311
201, 412, 225, 398, 11302805, 3, 5, 274, 363, 130, 598, 556, 188, 65, 274, 45, 205
201, 412, 201, 459, 11302805, 5, 5, 205, 363, 130, 598, 556, 188, 65, 274, 45, 205
201, 412, 261, 398, 11302805, 1, 5, 188, 363, 130, 598, 556, 188, 65, 274, 45, 205
