source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
15, -1, 109, 1, 10300200, 5, 1, 38, 241, 296, 598, 787, 285, 278, 212, 117, 38
109, 1, 201, 12, 10316599, 4, 2, 278, 38, 296, 598, 787, 7, 212, 164, 278, 243
109, 1, 219, -1, 10316599, 5, 2, 243, 38, 296, 598, 787, 7, 212, 164, 278, 243
109, 1, 248, -1, 10316599, 3, 2, 164, 38, 296, 598, 787, 7, 212, 164, 278, 243
109, 1, 280, -1, 10316599, 1, 2, 7, 38, 296, 598, 787, 7, 212, 164, 278, 243
280, -1, 354, 1, 10316999, 3, 3, 143, 7, 296, 598, 787, 5, 275, 143, 152, 150
280, -1, 401, 12, 10316999, 2, 3, 275, 7, 296, 598, 787, 5, 275, 143, 152, 150
280, -1, 447, -1, 10316999, 5, 3, 150, 7, 296, 598, 787, 5, 275, 143, 152, 150
280, -1, 488, -1, 10316999, 1, 3, 5, 7, 296, 598, 787, 5, 275, 143, 152, 150
488, -1, 515, 1, 10317398, 5, 4, 61, 5, 296, 598, 787, 149, 253, 181, 48, 61
488, -1, 561, 1, 10317398, 3, 4, 181, 5, 296, 598, 787, 149, 253, 181, 48, 61
488, -1, 580, 1, 10317398, 2, 4, 253, 5, 296, 598, 787, 149, 253, 181, 48, 61
401, 12, 401, 41, 10321398, 3, 4, 152, 275, 296, 598, 787, 100, 48, 152, 280, 237
401, 12, 401, 79, 10321398, 2, 4, 48, 275, 296, 598, 787, 100, 48, 152, 280, 237
401, 12, 398, 114, 10321398, 1, 4, 100, 275, 296, 598, 787, 100, 48, 152, 280, 237
401, 12, 398, 180, 10321398, 5, 4, 237, 275, 296, 598, 787, 100, 48, 152, 280, 237
401, 12, 398, 187, 10321398, 4, 4, 280, 275, 296, 598, 787, 100, 48, 152, 280, 237
398, 114, 398, 180, 10321797, 5, 5, 237, 100, 296, 598, 787, 41, 292, 268, 280, 237
398, 114, 398, 187, 10321797, 4, 5, 280, 100, 296, 598, 787, 41, 292, 268, 280, 237
580, 1, 601, 44, 10321798, 2, 5, 149, 253, 296, 598, 787, 91, 149, 12, 10000000, 10000000
580, 1, 601, 84, 10321798, 1, 5, 91, 253, 296, 598, 787, 91, 149, 12, 10000000, 10000000
398, 114, 401, 287, 10321798, 1, 5, 41, 100, 296, 598, 787, 41, 292, 268, 280, 237
601, 84, 598, 109, 10322197, 1, 6, 12, 91, 296, 598, 787, 12, 10000000, 10000000, 10000000, 10000000
401, 287, 398, 347, 10322197, 4, 6, 111, 41, 296, 598, 787, 198, 255, 201, 111, 256
401, 287, 398, 375, 10322197, 3, 6, 201, 41, 296, 598, 787, 198, 255, 201, 111, 256
401, 287, 398, 387, 10322197, 5, 6, 256, 41, 296, 598, 787, 198, 255, 201, 111, 256
401, 287, 401, 416, 10322197, 2, 6, 255, 41, 296, 598, 787, 198, 255, 201, 111, 256
401, 287, 401, 431, 10322197, 1, 6, 198, 41, 296, 598, 787, 198, 255, 201, 111, 256
401, 431, 401, 467, 10322596, 1, 7, 104, 198, 296, 598, 787, 104, 148, 79, 10000000, 10000000
293, -1, 342, 1, 11300200, 3, 1, 143, 7, 250, 618, 598, 5, 275, 143, 152, 231
293, -1, 401, 12, 11300200, 2, 1, 275, 7, 250, 618, 598, 5, 275, 143, 152, 231
401, 12, 401, 26, 11304599, 5, 2, 231, 275, 250, 618, 598, 48, 100, 152, 280, 231
401, 12, 401, 53, 11304599, 3, 2, 152, 275, 250, 618, 598, 48, 100, 152, 280, 231
401, 12, 401, 92, 11304599, 1, 2, 48, 275, 250, 618, 598, 48, 100, 152, 280, 231
401, 12, 398, 100, 11304599, 2, 2, 100, 275, 250, 618, 598, 48, 100, 152, 280, 231
401, 12, 398, 186, 11304599, 4, 2, 280, 275, 250, 618, 598, 48, 100, 152, 280, 231
401, 92, 398, 100, 11304998, 4, 3, 100, 48, 250, 618, 598, 280, 237, 132, 100, 41
401, 92, 398, 143, 11304998, 3, 3, 132, 48, 250, 618, 598, 280, 237, 132, 100, 41
401, 92, 398, 173, 11304998, 2, 3, 237, 48, 250, 618, 598, 280, 237, 132, 100, 41
401, 92, 398, 186, 11304998, 1, 3, 280, 48, 250, 618, 598, 280, 237, 132, 100, 41
398, 186, 424, 198, 11305398, 5, 4, 221, 280, 250, 618, 598, 41, 112, 88, 111, 221
398, 186, 401, 300, 11305398, 1, 4, 41, 280, 250, 618, 598, 41, 112, 88, 111, 221
398, 186, 398, 333, 11305398, 4, 4, 111, 280, 250, 618, 598, 41, 112, 88, 111, 221
401, 300, 398, 333, 11305797, 4, 5, 111, 41, 250, 618, 598, 198, 201, 255, 111, 256
401, 300, 398, 368, 11305797, 2, 5, 201, 41, 250, 618, 598, 198, 201, 255, 111, 256
401, 300, 398, 384, 11305797, 5, 5, 256, 41, 250, 618, 598, 198, 201, 255, 111, 256
401, 300, 401, 420, 11305797, 3, 5, 255, 41, 250, 618, 598, 198, 201, 255, 111, 256
401, 300, 401, 440, 11305797, 1, 5, 198, 41, 250, 618, 598, 198, 201, 255, 111, 256
401, 440, 401, 479, 11306196, 3, 6, 104, 198, 250, 618, 598, 148, 79, 104, 24, 160
424, 198, 462, 198, 11321797, 4, 5, 112, 221, 250, 618, 598, 266, 41, 88, 112, 131
424, 198, 510, 198, 11321797, 3, 5, 88, 221, 250, 618, 598, 266, 41, 88, 112, 131
424, 198, 587, 201, 11321797, 1, 5, 266, 221, 250, 618, 598, 266, 41, 88, 112, 131
587, 201, 598, 303, 11322196, 1, 6, 47, 266, 250, 618, 598, 47, 187, 10000000, 10000000, 10000000
587, 201, 598, 347, 11322197, 2, 6, 187, 266, 250, 618, 598, 47, 187, 10000000, 10000000, 10000000
598, 303, 598, 347, 11322596, 2, 7, 187, 47, 250, 618, 598, 21, 187, 138, 114, 85
