source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
157, 1, 212, -1, 10300200, 3, 1, 285, 144, 287, 598, 587, 98, 7, 285, 243, 117
157, 1, 219, -1, 10300200, 4, 1, 243, 144, 287, 598, 587, 98, 7, 285, 243, 117
157, 1, 201, 49, 10300200, 5, 1, 117, 144, 287, 598, 587, 98, 7, 285, 243, 117
157, 1, 280, -1, 10300200, 2, 1, 7, 144, 287, 598, 587, 98, 7, 285, 243, 117
280, -1, 354, 1, 10304503, 5, 2, 143, 7, 287, 598, 587, 5, 275, 152, 231, 143
201, 49, 201, 76, 10316503, 5, 2, 98, 117, 287, 598, 587, 226, 240, 180, 60, 98
201, 49, 198, 105, 10316503, 4, 2, 60, 117, 287, 598, 587, 226, 240, 180, 60, 98
201, 49, 198, 153, 10316503, 3, 2, 180, 117, 287, 598, 587, 226, 240, 180, 60, 98
201, 49, 198, 179, 10316503, 2, 2, 240, 117, 287, 598, 587, 226, 240, 180, 60, 98
201, 49, 201, 218, 10316503, 1, 2, 226, 117, 287, 598, 587, 226, 240, 180, 60, 98
201, 218, 201, 285, 10316807, 2, 3, 23, 226, 287, 598, 587, 259, 23, 174, 206, 27
201, 218, 198, 351, 10316807, 3, 3, 174, 226, 287, 598, 587, 259, 23, 174, 206, 27
354, 1, 401, 12, 10320806, 3, 3, 275, 143, 287, 598, 587, 181, 91, 275, 231, 152
354, 1, 401, 19, 10320806, 4, 3, 231, 143, 287, 598, 587, 181, 91, 275, 231, 152
354, 1, 401, 41, 10320806, 5, 3, 152, 143, 287, 598, 587, 181, 91, 275, 231, 152
201, 285, 198, 314, 10321110, 5, 4, 13, 23, 287, 598, 587, 259, 254, 265, 174, 13
201, 285, 198, 350, 10321110, 4, 4, 174, 23, 287, 598, 587, 259, 254, 265, 174, 13
201, 285, 198, 387, 10321110, 1, 4, 259, 23, 287, 598, 587, 259, 254, 265, 174, 13
