source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id
243, 219, -1, 10299999, 1, 7, 62, 164, 117, 98, 1, 0.723334, 1, 0.97026, 0.75622, 57
164, 248, -1, 10300200, 2, 150, 62, 143, 7, 275, 1, 1, 0.724492, 1, 0.430144, 57
7, 280, -1, 10300200, 2, 62, 143, 231, 275, 150, 1, 0.845241, 0.538641, 0.53768, 0.242021, 57
62, 319, 1, 10300200, 2, 5, 150, 231, 275, 152, 0.968874, 1, 1, 1, 0.8605, 57
62, 319, 1, 10300640, 3, 5, 150, 231, 275, 152, 0.968828, 1, 1, 1, 0.86046, 57
143, 354, 1, 10300640, 3, 5, 152, 150, 231, 48, 1, 1, 1, 1, 0.861593, 57
275, 401, 12, 10300640, 3, 100, 48, 280, 152, 5, 1, 1, 0.646811, 1, 0.968828, 57
275, 401, 12, 10301067, 4, 100, 48, 280, 152, 5, 1, 1, 0.646781, 1, 0.968783, 57
231, 401, 19, 10301067, 4, 132, 100, 280, 48, 237, 0.952822, 0.862662, 0.754578, 0.969247, 0.603244, 57
48, 401, 79, 10309267, 5, 237, 280, 132, 100, 10000000, 0.962421, 0.753911, 0.753169, 0.646425, 0, 57
100, 398, 114, 10309267, 5, 292, 268, 41, 280, 237, 1, 1, 0.860902, 1, 1, 57
132, 398, 155, 10309268, 5, 41, 221, 292, 268, 112, 1, 1, 1, 1, 0.862643, 57
280, 398, 187, 10309268, 5, 256, 41, 112, 88, 221, 0.870985, 1, 1, 0.846954, 1, 57
268, 412, 198, 10309643, 6, 216, 41, 49, 88, 116, 0.938648, 1, 0.949109, 1, 0.759483, 57
292, 412, 198, 10309643, 6, 88, 41, 112, 216, 116, 1, 0.968476, 1, 0.645317, 0.604772, 57
41, 401, 287, 10309643, 6, 255, 256, 111, 201, 198, 1, 0.936323, 1, 0.75336, 0.611004, 57
111, 398, 347, 10309966, 7, 104, 198, 255, 256, 201, 1, 1, 1, 1, 1, 57
201, 398, 375, 10309966, 7, 104, 198, 24, 255, 160, 1, 1, 0.859432, 1, 0.753146, 57
256, 398, 387, 10309966, 7, 24, 104, 160, 198, 255, 0.966861, 1, 0.968331, 1, 1, 57
255, 401, 415, 10309966, 7, 24, 104, 160, 198, 148, 0.966861, 1, 0.860739, 1, 0.466987, 57
198, 401, 431, 10309966, 7, 104, 24, 160, 79, 148, 1, 0.752003, 0.860739, 0.188895, 0.137139, 57
198, 401, 431, 10310328, 8, 104, 24, 160, 79, 148, 1, 0.751974, 0.860705, 0.188882, 0.137132, 57
160, 444, 398, 10310329, 8, 24, 53, 138, 114, 10000000, 1, 0.75581, 0.687827, 0.214932, 0, 57
104, 401, 467, 10310329, 8, 148, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 57
24, 486, 398, 10318529, 9, 138, 53, 114, 21, 10000000, 0.968764, 0.970897, 0.159379, 0.107658, 0, 57
