source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id ,send_log
94, 801, 683, 10299999, 1, 87, 146, 251, 280, 377, 0.969458, 1, 1, 1, 1, 344, 0, 0, 0, 0, 1, 1
377, 787, 601, 10300200, 2, 84, 90, 87, 143, 128, 0.96666, 1, 1, 1, 0.648337, 344, 0, 0, 0, 0, 0, 0
251, 780, 601, 10300200, 2, 90, 143, 84, 87, 146, 1, 1, 0.688204, 0.861722, 0.97008, 344, 0, 0, 0, 0, 0, 1
280, 798, 580, 10300200, 2, 398, 40, 367, 306, 234, 0.70346, 0.120563, 0.324322, 0.322709, 0.275207, 344, 1, 1, 1, 1, 1, 0
146, 798, 553, 10300200, 2, 367, 306, 398, 124, 234, 0.611184, 0.603931, 0.479475, 0.216194, 0.137604, 344, 1, 1, 1, 1, 1, 0
87, 798, 519, 10300200, 2, 398, 306, 367, 81, 111, 0.799125, 0.645418, 0.362261, 0.215345, 0.753356, 344, 1, 1, 1, 1, 0, 1
111, 801, 467, 10300600, 3, 124, 40, 234, 398, 367, 0.972831, 1, 1, 1, 1, 344, 0, 0, 0, 1, 1, 0
306, 787, 401, 10300600, 3, 120, 81, 124, 35, 40, 1, 1, 1, 0.603197, 0.971838, 344, 0, 0, 0, 0, 0, 0
367, 787, 401, 10300600, 3, 81, 120, 124, 35, 40, 0.969012, 0.753352, 1, 0.723836, 0.971838, 344, 0, 0, 0, 0, 0, 0
398, 787, 401, 10300600, 3, 81, 120, 124, 35, 40, 1, 0.6874, 1, 0.647345, 0.971838, 344, 0, 0, 0, 0, 0, 1
124, 758, 401, 10301001, 4, 120, 81, 144, 35, 10000000, 0.962307, 1, 0.43208, 0.539431, 0, 344, 0, 0, 0, 0, 1, 0
81, 718, 401, 10301001, 4, 120, 144, 35, 10000000, 10000000, 0.75332, 0.540101, 0.647317, 0, 0, 344, 0, 0, 0, 1, 1, 1
35, 683, 398, 10301001, 4, 53, 144, 347, 290, 120, 0.968179, 0.972181, 0.972747, 0.860973, 1, 344, 0, 0, 1, 1, 0, 0
120, 642, 398, 10301001, 4, 53, 166, 144, 290, 347, 1, 0.883119, 0.972181, 0.968595, 1, 344, 0, 0, 0, 1, 1, 0
35, 683, 398, 10301401, 5, 53, 144, 347, 290, 120, 0.968137, 0.972139, 0.972705, 0.860936, 1, 344, 0, 0, 1, 1, 0, 0
120, 642, 398, 10301401, 5, 53, 166, 144, 290, 347, 1, 0.882963, 0.972139, 0.968553, 1, 344, 0, 0, 0, 1, 1, 1
347, 601, 412, 10301801, 6, 53, 166, 47, 144, 24, 1, 0.79522, 1, 0.972097, 0.754987, 344, 0, 0, 0, 0, 0, 0
144, 554, 401, 10301801, 6, 279, 285, 183, 24, 53, 0.962087, 0.159101, 0.120859, 0.957926, 1, 344, 0, 1, 1, 0, 0, 0
53, 516, 401, 10301801, 6, 339, 168, 279, 278, 24, 0.864047, 0.757341, 0.755438, 0.700304, 0.957926, 344, 1, 0, 0, 0, 0, 1
24, 485, 398, 10302201, 7, 18, 168, 278, 335, 302, 1, 1, 1, 1, 0.971775, 344, 0, 0, 0, 1, 1, 0
279, 419, 398, 10302202, 7, 300, 395, 388, 381, 349, 1, 1, 1, 1, 1, 344, 1, 1, 1, 1, 1, 1
278, 379, 401, 10302202, 7, 45, 18, 168, 188, 224, 0.964205, 1, 1, 0.648442, 1, 344, 0, 0, 0, 0, 0, 0
143, 754, 601, 10308600, 3, 90, 84, 128, 87, 173, 1, 0.687409, 0.60487, 0.645707, 0.158978, 344, 0, 0, 0, 0, 1, 0
90, 712, 601, 10308600, 3, 128, 173, 84, 273, 16, 1, 0.794891, 0.96568, 0.726287, 0.379099, 344, 0, 0, 0, 0, 0, 1
84, 685, 598, 10308600, 3, 16, 173, 273, 128, 243, 1, 1, 1, 1, 0.755611, 344, 0, 0, 0, 0, 1, 0
84, 685, 598, 10309000, 4, 16, 173, 273, 128, 243, 1, 1, 1, 1, 0.755579, 344, 0, 0, 0, 0, 1, 0
128, 642, 598, 10309000, 4, 16, 173, 162, 332, 243, 1, 1, 0.774809, 1, 0.971458, 344, 0, 0, 0, 1, 1, 1
273, 620, 598, 10309000, 4, 173, 130, 16, 85, 243, 1, 0.969113, 0.862743, 0.86083, 1, 344, 0, 0, 0, 0, 0, 0
