source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
8, -1, 8, -1, 11300199, 1, 1, 369, 394, 297, 798, 773, 369, 326, 323, 29, 11
8, -1, 8, -1, 11300200, 2, 1, 326, 394, 297, 798, 773, 369, 326, 323, 29, 11
8, -1, 1, 95, 11300200, 5, 1, 11, 394, 297, 798, 773, 369, 326, 323, 29, 11
8, -1, -1, 102, 11300200, 4, 1, 29, 394, 297, 798, 773, 369, 326, 323, 29, 11
8, -1, 54, -1, 11300817, 5, 2, 153, 369, 297, 798, 773, 11, 8, 38, 29, 153
8, -1, 91, -1, 11300817, 2, 2, 8, 369, 297, 798, 773, 11, 8, 38, 29, 153
8, -1, 1, 95, 11300817, 1, 2, 11, 369, 297, 798, 773, 11, 8, 38, 29, 153
8, -1, -1, 102, 11300817, 4, 2, 29, 369, 297, 798, 773, 11, 8, 38, 29, 153
1, 95, 1, 212, 11301434, 1, 3, 346, 11, 297, 798, 773, 346, 150, 270, 343, 32
1, 212, 1, 297, 11302051, 4, 4, 32, 346, 297, 798, 773, 348, 191, 56, 32, 216
1, 212, -1, 386, 11302052, 1, 4, 348, 346, 297, 798, 773, 348, 191, 56, 32, 216
-1, 386, 40, 398, 11302669, 3, 5, 221, 348, 297, 798, 773, 110, 43, 221, 191, 50
-1, 386, 1, 459, 11302669, 4, 5, 191, 348, 297, 798, 773, 110, 43, 221, 191, 50
-1, 386, -1, 508, 11302669, 5, 5, 50, 348, 297, 798, 773, 110, 43, 221, 191, 50
91, -1, 144, 1, 11305434, 5, 3, 150, 8, 297, 798, 773, 343, 165, 270, 330, 150
91, -1, 177, 1, 11305434, 3, 3, 270, 8, 297, 798, 773, 343, 165, 270, 330, 150
91, -1, 187, 1, 11305434, 1, 3, 343, 8, 297, 798, 773, 343, 165, 270, 330, 150
91, -1, 212, -1, 11305434, 4, 3, 330, 8, 297, 798, 773, 343, 165, 270, 330, 150
187, 1, 201, 24, 11306051, 5, 4, 235, 343, 297, 798, 773, 98, 7, 123, 170, 235
187, 1, 201, 62, 11306051, 3, 4, 123, 343, 297, 798, 773, 98, 7, 123, 170, 235
187, 1, 261, -1, 11306051, 4, 4, 170, 343, 297, 798, 773, 98, 7, 123, 170, 235
187, 1, 201, 87, 11306051, 1, 4, 98, 343, 297, 798, 773, 98, 7, 123, 170, 235
187, 1, 293, -1, 11306051, 2, 4, 7, 343, 297, 798, 773, 98, 7, 123, 170, 235
201, 87, 198, 173, 11306669, 5, 5, 263, 98, 297, 798, 773, 313, 344, 249, 368, 263
201, 87, 198, 187, 11306669, 2, 5, 344, 98, 297, 798, 773, 313, 344, 249, 368, 263
201, 87, 201, 212, 11306669, 4, 5, 368, 98, 297, 798, 773, 313, 344, 249, 368, 263
201, 87, 201, 212, 11306669, 1, 5, 313, 98, 297, 798, 773, 313, 344, 249, 368, 263
201, 87, 201, 224, 11306669, 3, 5, 249, 98, 297, 798, 773, 313, 344, 249, 368, 263
201, 212, 201, 257, 11307286, 5, 6, 132, 313, 297, 798, 773, 229, 193, 23, 13, 132
201, 212, 198, 301, 11307286, 4, 6, 13, 313, 297, 798, 773, 229, 193, 23, 13, 132
201, 212, 198, 337, 11307286, 2, 6, 193, 313, 297, 798, 773, 229, 193, 23, 13, 132
201, 212, 198, 371, 11307286, 1, 6, 229, 313, 297, 798, 773, 229, 193, 23, 13, 132
198, 371, 198, 387, 11307903, 5, 7, 305, 229, 297, 798, 773, 336, 399, 386, 366, 305
198, 371, 198, 387, 11307903, 4, 7, 366, 229, 297, 798, 773, 336, 399, 386, 366, 305
198, 371, 198, 387, 11307903, 3, 7, 386, 229, 297, 798, 773, 336, 399, 386, 366, 305
198, 371, 198, 387, 11307903, 2, 7, 399, 229, 297, 798, 773, 336, 399, 386, 366, 305
198, 371, 187, 401, 11307903, 1, 7, 336, 229, 297, 798, 773, 336, 399, 386, 366, 305
