source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5,pri_recover
82, 198, 112, 201, 10300200, 3, 1, 17, 56, 243, 598, 585, 27, 129, 17, 238, 313, 0
82, 198, 159, 201, 10300200, 2, 1, 129, 56, 243, 598, 585, 27, 129, 17, 238, 313, 0
82, 198, 181, 201, 10300200, 4, 1, 238, 56, 243, 598, 585, 27, 129, 17, 238, 313, 0
82, 198, 201, 212, 10300200, 5, 1, 313, 56, 243, 598, 585, 27, 129, 17, 238, 313, 0
159, 201, 198, 187, 10304667, 1, 2, 344, 129, 243, 598, 585, 344, 27, 71, 132, 159, 0
159, 201, 201, 245, 10304667, 4, 2, 132, 129, 243, 598, 585, 344, 27, 71, 132, 159, 0
159, 201, 241, 198, 10304667, 5, 2, 159, 129, 243, 598, 585, 344, 27, 71, 132, 159, 0
159, 201, 323, 201, 10304667, 3, 2, 71, 129, 243, 598, 585, 344, 27, 71, 132, 159, 0
198, 187, 201, 245, 10305134, 5, 3, 132, 344, 243, 598, 585, 366, 363, 13, 27, 132, 0
198, 187, 278, 198, 10305134, 4, 3, 27, 344, 243, 598, 585, 366, 363, 13, 27, 132, 0
323, 201, 387, 201, 10313135, 5, 3, 310, 71, 243, 598, 585, 244, 356, 314, 88, 310, 0
323, 201, 412, 198, 10313135, 3, 3, 314, 71, 243, 598, 585, 244, 356, 314, 88, 310, 0
323, 201, 412, 198, 10313135, 2, 3, 356, 71, 243, 598, 585, 244, 356, 314, 88, 310, 0
323, 201, 418, 198, 10313135, 1, 3, 244, 71, 243, 598, 585, 244, 356, 314, 88, 310, 0
323, 201, 495, 198, 10313135, 4, 3, 88, 71, 243, 598, 585, 244, 356, 314, 88, 310, 0
418, 198, 581, 201, 10313602, 3, 4, 239, 244, 243, 598, 585, 287, 312, 239, 380, 41, 0
201, 245, 198, 350, 10321601, 4, 4, 193, 132, 243, 598, 585, 299, 305, 399, 193, 386, 0
201, 245, 198, 387, 10321602, 2, 4, 305, 132, 243, 598, 585, 299, 305, 399, 193, 386, 0
201, 245, 198, 387, 10321602, 5, 4, 386, 132, 243, 598, 585, 299, 305, 399, 193, 386, 0
201, 245, 198, 387, 10321602, 3, 4, 399, 132, 243, 598, 585, 299, 305, 399, 193, 386, 0
201, 245, 201, 419, 10321602, 1, 4, 299, 132, 243, 598, 585, 299, 305, 399, 193, 386, 0
201, 419, 219, 398, 10322069, 1, 5, 274, 299, 243, 598, 585, 274, 276, 67, 188, 65, 0
201, 419, 201, 486, 10322069, 5, 5, 65, 299, 243, 598, 585, 274, 276, 67, 188, 65, 0
581, 201, 601, 262, 10322069, 1, 5, 114, 239, 243, 598, 585, 114, 206, 47, 290, 179, 0
219, 398, 248, 398, 10322536, 2, 6, 188, 274, 243, 598, 585, 45, 188, 18, 395, 335, 0
219, 398, 283, 398, 10322536, 1, 6, 45, 274, 243, 598, 585, 45, 188, 18, 395, 335, 0
219, 398, 312, 401, 10322536, 3, 6, 18, 274, 243, 598, 585, 45, 188, 18, 395, 335, 0
