source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id ,send_log
164, 248, -1, 10299999, 1, 275, 152, 7, 143, 117, 0.537692, 0.120932, 1, 0.686519, 0.754648, 271, 1, 1, 0, 0, 0, 1
7, 280, -1, 10300200, 2, 5, 275, 143, 152, 150, 0, 0.645217, 0.8238, 0.645376, 0.611795, 271, 1, 1, 0, 1, 0, 0
143, 354, 1, 10300200, 2, 181, 275, 152, 48, 231, 0.121034, 1, 1, 0.861637, 1, 271, 1, 1, 0, 0, 0, 0
275, 401, 12, 10300200, 2, 100, 48, 152, 280, 237, 0.939391, 1, 1, 0.539035, 0.431454, 271, 0, 0, 0, 1, 0, 1
152, 401, 41, 10300603, 3, 237, 48, 280, 100, 132, 0.723934, 1, 0.603115, 0.539191, 0.430784, 271, 0, 0, 1, 0, 0, 0
48, 401, 79, 10300603, 3, 280, 237, 100, 132, 41, 1, 0.948958, 0.862706, 0.646177, 0.362702, 271, 1, 1, 0, 0, 0, 0
100, 398, 114, 10300603, 3, 41, 292, 268, 280, 237, 0.96942, 1, 1, 1, 1, 271, 0, 1, 1, 1, 0, 1
237, 398, 180, 10301007, 4, 41, 112, 221, 88, 292, 1, 0.97134, 1, 0.863174, 1, 271, 0, 0, 0, 0, 1, 0
280, 398, 187, 10301007, 4, 41, 112, 111, 88, 221, 1, 1, 0.603391, 0.863174, 1, 271, 0, 0, 0, 0, 0, 0
41, 401, 287, 10301007, 4, 198, 255, 201, 111, 256, 1, 0.934058, 0.754062, 0.824941, 0.604991, 271, 0, 1, 0, 0, 1, 1
111, 398, 347, 10301410, 5, 104, 198, 255, 256, 201, 1, 1, 1, 1, 1, 271, 0, 0, 1, 1, 0, 0
201, 398, 375, 10301410, 5, 104, 198, 255, 24, 160, 1, 1, 1, 0.752697, 0.753842, 271, 0, 0, 1, 0, 0, 0
256, 398, 387, 10301410, 5, 104, 198, 24, 255, 160, 1, 1, 0.967753, 1, 0.969225, 271, 0, 0, 0, 1, 0, 0
255, 401, 415, 10301410, 5, 104, 198, 24, 79, 148, 1, 1, 0.967753, 0.215027, 0.189231, 271, 0, 0, 0, 1, 1, 0
198, 401, 431, 10301410, 5, 104, 148, 79, 10000000, 10000000, 1, 0.319685, 0.120491, 0, 0, 271, 0, 1, 1, 1, 1, 1
104, 401, 467, 10301814, 6, 10000000, 10000000, 10000000, 10000000, 10000000, 0, 0, 0, 0, 0, 271, 1, 1, 1, 1, 1, 0
241, 21, -1, 11299999, 1, 243, 11, 38, 285, 8, 1, 0.972749, 1, 0.440106, 1, 69, 0, 0, 0, 1, 0, 0
8, 89, -1, 11300200, 2, 243, 285, 144, 7, 247, 1, 0.797189, 0.753992, 0.56851, 0.604194, 69, 0, 1, 0, 0, 0, 0
38, 95, 1, 11300200, 2, 164, 212, 243, 278, 285, 1, 1, 1, 1, 1, 69, 0, 0, 0, 1, 1, 0
243, 225, -1, 11300200, 2, 98, 7, 117, 164, 143, 0.86141, 1, 0.969263, 1, 0.702154, 69, 0, 0, 0, 0, 0, 1
164, 261, -1, 11300603, 3, 275, 152, 7, 143, 62, 0.539638, 0.107878, 1, 0.724312, 0.753052, 69, 1, 1, 0, 0, 0, 0
7, 293, -1, 11300603, 3, 5, 275, 143, 152, 231, 0, 0.647565, 0.845031, 0.647269, 0.603026, 69, 1, 1, 0, 1, 1, 1
143, 342, 1, 11300604, 3, 181, 275, 152, 5, 48, 0.107961, 1, 1, 1, 0.864082, 69, 1, 1, 0, 0, 0, 0
143, 342, 1, 11305007, 4, 181, 275, 152, 5, 48, 0.10791, 1, 1, 1, 0.863671, 69, 1, 1, 0, 0, 0, 0
275, 401, 12, 11305007, 4, 48, 100, 152, 280, 5, 1, 0.950049, 1, 0.604315, 0.861242, 69, 0, 0, 0, 1, 0, 1
152, 401, 53, 11309410, 5, 48, 237, 100, 280, 132, 1, 0.752943, 0.954482, 0.537687, 0.481922, 69, 0, 0, 0, 1, 0, 0
48, 401, 92, 11309410, 5, 280, 237, 132, 41, 100, 1, 0.955757, 0.843363, 0.431032, 1, 69, 1, 0, 0, 0, 0, 1
100, 398, 100, 11309410, 5, 41, 292, 268, 280, 237, 0.969821, 1, 1, 1, 1, 69, 0, 1, 1, 1, 0, 0
280, 398, 186, 11309410, 5, 41, 112, 88, 221, 292, 1, 1, 0.863462, 1, 1, 69, 0, 0, 0, 0, 1, 0
100, 398, 100, 11309813, 6, 41, 292, 268, 280, 237, 0.969779, 1, 1, 1, 1, 69, 0, 1, 1, 1, 0, 0
132, 398, 143, 11309813, 6, 41, 111, 292, 268, 221, 1, 0.884531, 1, 1, 0.969358, 69, 0, 0, 1, 1, 1, 0
237, 398, 173, 11309813, 6, 41, 112, 88, 221, 292, 1, 0.969465, 0.863424, 1, 1, 69, 0, 0, 0, 0, 1, 0
280, 398, 186, 11309813, 6, 41, 112, 88, 221, 292, 1, 1, 0.863424, 1, 1, 69, 0, 0, 0, 0, 1, 1
292, 412, 198, 11310216, 7, 41, 88, 49, 216, 112, 1, 1, 0.957143, 0.760167, 1, 69, 0, 0, 0, 1, 0, 0
