source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id ,send_log
154, 1, 47, 10299999, 1, 159, 11, 29, 8, 38, 0.758313, 1, 0.754121, 0.755642, 0.431054, 127, 0, 0, 0, 0, 0, 1
11, 1, 81, 10300200, 2, 243, 159, 29, 170, 38, 0.137429, 0.952976, 0.754105, 0.379906, 0.215522, 127, 1, 0, 0, 0, 1, 0
29, -1, 115, 10300200, 2, 32, 170, 207, 197, 159, 0.971014, 1, 0.863673, 0.754233, 1, 127, 0, 0, 1, 0, 0, 0
159, -1, 151, 10300200, 2, 32, 170, 207, 197, 168, 1, 1, 0.971632, 0.754233, 0.614015, 127, 0, 0, 1, 0, 0, 1
170, 1, 248, 10300763, 3, 168, 32, 64, 56, 197, 0.863983, 1, 0.603636, 0.645647, 0.861929, 127, 0, 0, 0, 0, 0, 0
32, 1, 281, 10300763, 3, 168, 64, 43, 10000000, 10000000, 0.686642, 0.756352, 0.27425, 0, 0, 127, 0, 0, 0, 1, 1, 1
64, -1, 317, 10301326, 4, 43, 168, 110, 50, 245, 1, 1, 0.539412, 0.322871, 0.137443, 127, 0, 0, 0, 0, 1, 0
168, -1, 358, 10301327, 4, 43, 245, 110, 50, 10000000, 1, 0.137443, 0.647294, 0.465671, 0, 127, 0, 1, 0, 0, 1, 1
43, 1, 476, 10301327, 4, 283, 157, 50, 245, 244, 0.795348, 0.755848, 0.966659, 0.646824, 0.569023, 127, 1, 0, 0, 0, 0, 0
43, 1, 476, 10301890, 5, 283, 157, 50, 245, 244, 0.795277, 0.755768, 0.966593, 0.646785, 0.568962, 127, 1, 0, 0, 0, 0, 1
50, -1, 520, 10302453, 6, 283, 236, 28, 157, 244, 1, 0.862272, 1, 0.970209, 1, 127, 1, 1, 0, 0, 0, 0
245, -1, 579, 10302453, 6, 262, 34, 195, 128, 28, 1, 0.862157, 1, 0.968028, 1, 127, 1, 0, 0, 0, 0, 0
283, 1, 612, 10302453, 6, 34, 128, 2, 28, 236, 0.969927, 1, 0.966024, 1, 1, 127, 0, 0, 0, 0, 0, 1
244, 1, 618, 10302453, 6, 34, 128, 28, 236, 195, 0.862157, 1, 1, 1, 0.753202, 127, 0, 0, 0, 0, 0, 0
157, 1, 648, 10302454, 6, 252, 34, 219, 136, 195, 0.159399, 0.754387, 1, 0.797922, 0.845308, 127, 1, 0, 0, 0, 0, 0
236, 19, 598, 10303016, 7, 34, 103, 128, 28, 107, 0.969868, 0.723045, 1, 0.860028, 0.189901, 127, 0, 0, 0, 0, 0, 0
128, 44, 598, 10303017, 7, 34, 103, 67, 107, 10000000, 0.969868, 0.723045, 0.24163, 0.13737, 0, 127, 0, 0, 1, 1, 1, 1
28, 1, 682, 10303017, 7, 2, 252, 34, 219, 128, 1, 0.704433, 0.538815, 0.685815, 0.752865, 127, 0, 0, 0, 0, 0, 1
34, 79, 598, 10307580, 8, 103, 107, 67, 10000000, 10000000, 0.963531, 0.234392, 0.136999, 0, 0, 127, 0, 0, 1, 1, 1, 1
103, 112, 601, 10307580, 8, 107, 191, 67, 20, 55, 0.970625, 0.862655, 0.755408, 0.477589, 0.215641, 127, 0, 0, 0, 0, 1, 0
103, 112, 601, 10308143, 9, 107, 191, 67, 20, 55, 0.970566, 0.862602, 0.755362, 0.477546, 0.215628, 127, 0, 0, 0, 0, 1, 1
107, 271, 598, 10308706, 10, 20, 96, 148, 156, 79, 0.861918, 0.442024, 0.323694, 0.232188, 0.120385, 127, 0, 0, 1, 1, 1, 1
20, 315, 601, 10309269, 11, 96, 156, 148, 79, 167, 0.969944, 0.968108, 0.863132, 0.751958, 0.467545, 127, 0, 0, 0, 0, 0, 1
156, 447, 598, 10309270, 11, 167, 250, 96, 16, 122, 0.956654, 0.722924, 1, 0.859638, 0.240899, 127, 0, 0, 0, 0, 0, 0
156, 447, 598, 10309833, 12, 167, 250, 96, 16, 122, 0.956568, 0.722874, 1, 0.859586, 0.240882, 127, 0, 0, 0, 0, 0, 1
96, 484, 598, 10314396, 13, 250, 167, 16, 122, 84, 1, 0.823055, 1, 0.635603, 0.439498, 127, 0, 0, 0, 0, 0, 0
16, 509, 601, 10314396, 13, 84, 122, 250, 287, 4, 0.969381, 1, 1, 1, 0.752639, 127, 0, 0, 0, 1, 0, 0
167, 550, 601, 10314396, 13, 84, 122, 287, 250, 4, 0.969381, 1, 1, 1, 0.752639, 127, 0, 0, 1, 0, 0, 1
250, 620, 598, 10314396, 13, 84, 4, 137, 9, 273, 1, 0.860158, 0.723469, 0.120893, 0.361496, 127, 0, 0, 0, 1, 1, 0
287, 598, 587, 10314959, 14, 296, 4, 122, 250, 84, 1, 1, 1, 1, 0.753917, 127, 1, 0, 0, 0, 0, 0
250, 620, 598, 10314959, 14, 84, 4, 137, 9, 273, 1, 0.860106, 0.72342, 0.120885, 0.361472, 127, 0, 0, 0, 1, 1, 0
122, 642, 598, 10314960, 14, 90, 137, 273, 228, 84, 0.962199, 0.875027, 0.539205, 0.464797, 1, 127, 0, 0, 1, 1, 0, 0
84, 685, 598, 10314960, 14, 273, 228, 90, 137, 238, 0.754887, 0.846404, 1, 0.820624, 0.538647, 127, 1, 0, 0, 0, 1, 1
90, 713, 601, 10315523, 15, 125, 238, 94, 273, 228, 0.863259, 1, 0.753209, 1, 1, 127, 0, 0, 0, 1, 0, 0
137, 754, 601, 10315523, 15, 125, 94, 238, 273, 228, 1, 0.86081, 1, 1, 1, 127, 0, 0, 0, 1, 0, 0
228, 781, 601, 10315523, 15, 94, 125, 238, 37, 127, 1, 1, 1, 0.410618, 0.241568, 127, 0, 0, 0, 0, 1, 0
273, 787, 601, 10315523, 15, 94, 125, 165, 238, 37, 1, 1, 0.60172, 1, 0.43138, 127, 0, 0, 0, 0, 0, 1
2, -1, 718, 10315580, 8, 299, 262, 289, 210, 189, 1, 1, 0.970535, 0.862955, 0.755016, 127, 1, 1, 1, 1, 0, 1
219, -1, 780, 10315580, 8, 77, 189, 210, 299, 262, 0.861205, 1, 1, 1, 1, 127, 0, 0, 0, 1, 1, 0
252, 1, 820, 10315580, 8, 77, 189, 210, 299, 262, 0.861205, 1, 1, 1, 1, 127, 0, 0, 0, 1, 1, 0
238, 801, 619, 10316086, 16, 37, 94, 165, 125, 127, 0.952649, 1, 0.794488, 1, 0.27344, 127, 0, 0, 0, 0, 0, 0
125, 801, 647, 10316086, 16, 165, 37, 94, 225, 69, 1, 0.862707, 1, 0.481746, 0.158581, 127, 0, 0, 0, 0, 0, 0
94, 801, 679, 10316086, 16, 225, 37, 165, 10000000, 10000000, 0.881218, 0.821172, 0.683819, 0, 0, 127, 0, 0, 0, 1, 1, 1
37, 798, 720, 10316086, 16, 127, 225, 272, 69, 200, 1, 1, 0.96968, 0.860415, 0.860616, 127, 0, 0, 1, 0, 1, 0
165, 798, 755, 10316087, 16, 127, 225, 272, 69, 200, 1, 1, 1, 0.967967, 0.968193, 127, 0, 0, 1, 0, 1, 0
37, 798, 720, 10316649, 17, 127, 225, 272, 69, 200, 1, 1, 0.969621, 0.860363, 0.860564, 127, 0, 0, 1, 0, 1, 0
165, 798, 755, 10316650, 17, 127, 225, 272, 69, 200, 1, 1, 1, 0.967909, 0.968134, 127, 0, 0, 1, 0, 1, 0
225, 801, 821, 10316650, 17, 127, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 127, 0, 1, 1, 1, 1, 1
250, 620, 598, 10323522, 15, 84, 4, 137, 9, 273, 1, 0.859315, 0.722674, 0.12076, 0.361099, 127, 0, 0, 0, 1, 1, 0
122, 642, 598, 10323523, 15, 90, 137, 273, 228, 84, 0.961068, 0.871761, 0.538707, 0.463874, 1, 127, 0, 0, 1, 1, 0, 0
4, 601, 690, 10323523, 15, 296, 213, 185, 263, 19, 1, 0.954125, 0.960908, 0.646951, 0.964223, 127, 1, 0, 0, 1, 0, 0
19, 598, 711, 10328086, 16, 271, 294, 296, 263, 234, 0.969762, 0.969053, 1, 1, 0.752411, 127, 1, 1, 1, 1, 1, 0
185, 598, 752, 10328086, 16, 294, 271, 296, 263, 175, 1, 1, 1, 1, 0.85997, 127, 1, 1, 1, 1, 0, 0
213, 598, 778, 10328086, 16, 296, 263, 6, 175, 217, 1, 1, 0.860321, 0.967467, 0.969625, 127, 1, 1, 0, 0, 0, 0
263, 598, 787, 10328086, 16, 6, 175, 217, 127, 10000000, 0.967861, 1, 1, 0.158794, 0, 127, 0, 0, 0, 1, 1, 0
296, 598, 787, 10328086, 16, 6, 175, 217, 225, 10000000, 1, 1, 1, 0.322659, 0, 127, 0, 0, 0, 1, 1, 0
217, 619, 798, 10328649, 17, 6, 175, 272, 200, 192, 1, 0.967408, 0.410245, 0.361759, 0.231493, 127, 0, 0, 1, 0, 1, 0
175, 648, 798, 10328649, 17, 272, 6, 200, 192, 127, 1, 1, 0.375411, 0.378365, 0.317559, 127, 1, 0, 0, 0, 1, 0
6, 685, 798, 10328649, 17, 272, 200, 225, 192, 57, 0.860773, 0.700314, 0.537732, 0.429715, 0.431486, 127, 1, 0, 1, 0, 0, 0
272, 812, 798, 10329213, 18, 127, 225, 69, 10000000, 10000000, 1, 1, 0.966603, 0, 0, 127, 0, 0, 0, 1, 1, 0
