source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,send_log
7, 280, -1, 10299999, 1, 288, 156, 149, 254, 320, 1, 0.785094, 0.862411, 0.703298, 0.698692, 133, 1
149, 354, 1, 10300200, 2, 158, 5, 156, 48, 254, 1, 1, 1, 0.862951, 0.968391, 133, 0
320, 401, 12, 10300200, 2, 48, 100, 118, 138, 158, 1, 0.846, 0.646407, 0.646754, 1, 133, 0
288, 420, -1, 10300200, 2, 5, 48, 158, 61, 156, 1, 0.862951, 0.967747, 0.753051, 1, 133, 1
156, 447, -1, 10300200, 2, 5, 298, 338, 200, 61, 1, 0.539785, 0.538553, 0.549437, 0.602956, 133, 0
156, 447, -1, 10300818, 3, 5, 298, 338, 200, 61, 1, 0.539749, 0.538517, 0.54939, 0.602911, 133, 0
5, 487, -1, 10300818, 3, 200, 220, 61, 298, 291, 0.961433, 0.82433, 0.949437, 0.726587, 0.638844, 133, 1
61, 515, 1, 10300818, 3, 291, 105, 220, 155, 91, 1, 1, 1, 0.846058, 0.755168, 133, 0
61, 515, 1, 10301436, 4, 291, 105, 220, 155, 91, 1, 1, 1, 0.845995, 0.755117, 133, 0
200, 561, 1, 10301436, 4, 155, 91, 291, 105, 220, 1, 0.862991, 1, 0.971847, 1, 133, 1
298, 580, 1, 10301436, 4, 91, 155, 12, 291, 105, 1, 1, 0.638441, 1, 1, 133, 0
220, 634, -1, 10301437, 4, 91, 225, 155, 291, 105, 0.755117, 0.883947, 0.845995, 0.971132, 0.971847, 133, 0
291, 601, 19, 10302055, 5, 91, 183, 12, 155, 285, 1, 0.645301, 0.687408, 1, 0.275735, 133, 0
155, 601, 44, 10302055, 5, 91, 183, 12, 285, 10000000, 1, 0.725133, 0.753736, 0.431116, 0, 133, 1
220, 634, -1, 10302055, 5, 91, 225, 155, 291, 105, 0.755067, 0.883705, 0.845932, 0.971067, 0.971782, 133, 0
91, 601, 84, 10302673, 6, 183, 285, 12, 114, 10000000, 0.956352, 0.75864, 0.843603, 0.275598, 0, 133, 1
12, 598, 111, 10302673, 6, 114, 285, 312, 380, 239, 0.972086, 1, 0.861224, 0.860254, 0.860152, 133, 0
183, 598, 147, 10302673, 6, 114, 380, 312, 287, 239, 0.972086, 1, 1, 0.971768, 0.967671, 133, 0
12, 598, 111, 10303291, 7, 114, 285, 312, 380, 239, 0.972021, 1, 0.861167, 0.860197, 0.860095, 133, 0
183, 598, 147, 10303291, 7, 114, 380, 312, 287, 239, 0.972021, 1, 1, 0.971703, 0.967606, 133, 1
285, 598, 179, 10303291, 7, 114, 206, 47, 290, 137, 1, 0.701982, 0.702545, 0.609349, 0.968009, 133, 0
312, 587, 201, 10303909, 8, 347, 114, 102, 137, 47, 1, 1, 1, 1, 0.477497, 133, 0
380, 587, 201, 10303909, 8, 114, 47, 102, 206, 137, 1, 0.6475, 1, 0.570827, 1, 133, 0
114, 601, 262, 10303909, 8, 179, 21, 286, 347, 47, 0.882518, 0.793651, 0.604475, 0.548625, 0.686826, 133, 1
47, 598, 315, 10304528, 9, 179, 286, 347, 21, 290, 1, 1, 1, 0.862612, 1, 133, 0
347, 601, 412, 10304528, 9, 21, 85, 243, 179, 332, 1, 0.759609, 0.64795, 1, 0.602884, 133, 1
179, 601, 445, 10317146, 10, 243, 21, 130, 332, 85, 1, 1, 0.753093, 0.601968, 0.645056, 133, 0
21, 601, 487, 10317146, 10, 332, 130, 243, 85, 4, 0.821325, 0.795663, 0.722276, 0.841813, 0, 133, 1
85, 598, 515, 10317146, 10, 4, 186, 332, 243, 273, 1, 1, 1, 1, 0.859606, 133, 0
85, 598, 515, 10317764, 11, 4, 186, 332, 243, 273, 1, 1, 1, 1, 0.859549, 133, 0
130, 598, 552, 10317764, 11, 4, 186, 273, 19, 332, 1, 1, 0.966992, 0.754411, 1, 133, 0
243, 598, 580, 10317764, 11, 19, 204, 4, 186, 128, 1, 0.916968, 0.96592, 1, 0.970662, 133, 0
332, 598, 587, 10317764, 11, 4, 186, 128, 204, 273, 1, 1, 1, 0.646224, 0.966992, 133, 1
273, 620, 598, 10318383, 12, 334, 84, 4, 90, 186, 1, 0.970669, 0.858539, 0.721815, 0.968552, 133, 0
128, 642, 598, 10318383, 12, 371, 90, 84, 143, 251, 1, 0.962419, 1, 0.700935, 0.643937, 133, 0
186, 601, 647, 10318383, 12, 309, 204, 4, 360, 19, 0.862366, 0.844542, 1, 0.753917, 0.793808, 133, 0
