source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id ,send_log
379, 1, 212, 10299999, 1, 56, 32, 216, 348, 174, 0.96802, 1, 1, 0.755317, 0.72457, 84, 0, 0, 0, 1, 0, 1
216, 45, 198, 10300200, 2, 56, 249, 129, 313, 238, 1, 0.60747, 0.645475, 0.476764, 0.479531, 84, 0, 1, 0, 1, 1, 1
32, 1, 282, 10300200, 2, 348, 282, 174, 64, 43, 0.863201, 0.68755, 0.863247, 0.954406, 0.477777, 84, 1, 1, 0, 0, 0, 1
174, -1, 355, 10300200, 2, 348, 282, 370, 268, 390, 1, 1, 0.44431, 0.443459, 0.216152, 84, 1, 1, 1, 1, 1, 0
348, -1, 387, 10300200, 2, 110, 221, 43, 191, 390, 0.97144, 1, 1, 1, 0.793197, 84, 0, 0, 0, 0, 1, 0
64, -1, 319, 10304575, 3, 43, 191, 348, 282, 50, 1, 1, 1, 1, 0.781314, 84, 0, 0, 1, 1, 0, 0
174, -1, 355, 10304575, 3, 348, 282, 370, 268, 390, 1, 1, 0.443448, 0.4426, 0.216049, 84, 1, 1, 1, 1, 1, 0
282, -1, 381, 10304575, 3, 370, 340, 267, 34, 348, 0.47733, 0.274207, 0.215336, 0.120523, 1, 84, 1, 1, 1, 1, 1, 1
56, 83, 198, 10308575, 3, 27, 129, 17, 238, 313, 1, 0.966471, 0.929643, 0.688619, 0.569198, 84, 0, 0, 0, 1, 1, 1
129, 159, 201, 10308575, 3, 344, 27, 71, 159, 132, 1, 0.971772, 0.879115, 1, 1, 84, 1, 0, 0, 0, 0, 0
238, 181, 201, 10308575, 3, 71, 27, 23, 132, 13, 1, 0.971772, 0.971384, 1, 0.847027, 84, 0, 0, 0, 0, 0, 0
17, 112, 201, 10308950, 4, 159, 249, 368, 313, 27, 1, 1, 1, 1, 0.863762, 84, 0, 1, 1, 1, 0, 0
129, 159, 201, 10308950, 4, 344, 27, 71, 159, 132, 1, 0.971733, 0.878971, 1, 1, 84, 1, 0, 0, 0, 0, 1
348, -1, 387, 10308950, 4, 110, 221, 43, 191, 390, 0.970523, 1, 1, 1, 0.78773, 84, 0, 0, 0, 0, 1, 0
238, 181, 201, 10308950, 4, 71, 27, 23, 132, 13, 1, 0.971733, 0.971345, 1, 0.846989, 84, 0, 0, 0, 0, 0, 0
313, 201, 212, 10308950, 4, 305, 386, 23, 249, 399, 0.686263, 0.645989, 0.971345, 1, 0.233992, 84, 1, 1, 0, 1, 1, 0
340, -1, 587, 10308951, 4, 34, 134, 259, 374, 328, 0.967259, 1, 1, 1, 1, 84, 0, 0, 1, 1, 1, 1
344, 198, 187, 10313325, 5, 363, 366, 13, 27, 132, 1, 1, 0.943573, 0.971274, 1, 84, 1, 1, 0, 0, 0, 1
132, 201, 245, 10313325, 5, 299, 305, 399, 386, 363, 0.913018, 0.755819, 0.645601, 0.322842, 0.275215, 84, 1, 1, 1, 1, 1, 0
159, 242, 198, 10313325, 5, 244, 314, 27, 356, 197, 1, 0.872542, 0.971274, 0.63844, 0.685177, 84, 1, 1, 0, 1, 0, 0
71, 323, 201, 10313326, 5, 88, 244, 356, 314, 117, 0.962634, 1, 1, 1, 1, 84, 0, 1, 1, 1, 0, 1
259, 19, 598, 10313326, 5, 34, 103, 134, 189, 107, 0.966805, 0.758786, 1, 0.606301, 0.434595, 84, 0, 0, 0, 0, 0, 0
328, 1, 612, 10313326, 5, 34, 134, 259, 10000000, 10000000, 0.859382, 1, 1, 0, 0, 84, 0, 0, 1, 1, 1, 0
374, 1, 612, 10313326, 5, 34, 134, 259, 10000000, 10000000, 0.859382, 1, 1, 0, 0, 84, 0, 0, 1, 1, 1, 0
134, 44, 598, 10313326, 5, 103, 34, 276, 189, 210, 0.860505, 1, 0.412424, 0.430741, 0.316865, 84, 0, 0, 1, 0, 0, 1
132, 201, 245, 10313700, 6, 299, 305, 399, 386, 363, 0.912914, 0.755766, 0.645575, 0.322829, 0.275201, 84, 1, 1, 1, 1, 1, 0
27, 278, 198, 10313700, 6, 71, 197, 117, 241, 244, 0.968934, 0.845268, 0.63777, 0.645795, 0.608008, 84, 0, 0, 0, 0, 1, 0
34, 79, 598, 10317701, 6, 107, 189, 103, 276, 210, 0.63371, 0.753441, 0.947696, 0.430011, 0.322343, 84, 0, 0, 0, 1, 0, 0
